Region_Comercial,Subregion_Comercial,Locacion_Comercial,AGRUP_PIVO,CANAL,Marca,Tamano,EMPAQUE,Retornable,Agrup_Producto,SKU,MES,MES_CUOTA, AL_CUOTA ,AL_VENTA_2017,AL_VENTA_2018,AL_VENTA_2019,YEAR_2018,YEAR_2019
REGION MODERNO,AUTOSERVICIOS,MAKRO,CASH Y CARRY,VERTICAL,COCA_COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,740,740,2680,2299,1942,8367,7129
REGION INSTYBID,INSTITUCIONES,EJECUTIVO 5,INSTITUCIONES,MODERNO,COCA_COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,0,0,0,0,0,13,0
REGION MODERNO,CUENTAS CLAVES,TANTA,CUENTAS CLAVES,MODERNO,COCA_COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,66,66,34,36,93,108,226
REGION MODERNO,CUENTAS CLAVES,TAMBO,CUENTAS CLAVES,MODERNO,COCA_COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,8732,8732,2373,3747,6590,15231,31937
REGION MODERNO,CUENTAS CLAVES,SURGOURMET,CUENTAS CLAVES,MODERNO,COCA_COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,0,0,0,0,0,0,0
REGION MODERNO,CUENTAS CLAVES,SODEXO,CUENTAS CLAVES,MODERNO,COCA_COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,442,442,135,617,378,1970,1164
REGION MODERNO,CUENTAS CLAVES,SAN FERNANDO,CUENTAS CLAVES,MODERNO,COCA_COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,147,147,125,120,135,543,454
REGION MODERNO,CUENTAS CLAVES,RUSTICA,CUENTAS CLAVES,MODERNO,COCA_COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,13,13,11,8,19,32,61
REGION MODERNO,CUENTAS CLAVES,ROKY'S,CUENTAS CLAVES,MODERNO,COCA_COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,7227,7227,6023,4267,6909,17442,29090
REGION MODERNO,CUENTAS CLAVES,REPSOL,CUENTAS CLAVES,MODERNO,COCA_COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,1348,1348,1651,1319,1708,5888,6721
REGION MODERNO,CUENTAS CLAVES,PRIMAX,CUENTAS CLAVES,MODERNO,COCA_COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,2166,2166,1899,1780,2762,7393,10140
REGION MODERNO,CUENTAS CLAVES,POLLOS TITOS,CUENTAS CLAVES,MODERNO,COCA_COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,8,8,0,8,8,23,30
REGION MODERNO,CUENTAS CLAVES,POLLOS BEGUI,CUENTAS CLAVES,MODERNO,COCA_COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,0,0,0,0,0,0,0
REGION MODERNO,CUENTAS CLAVES,PETROPERU,CUENTAS CLAVES,MODERNO,COCA_COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,71,71,116,93,104,505,659
REGION MODERNO,CUENTAS CLAVES,PECSA,CUENTAS CLAVES,MODERNO,COCA_COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,621,621,590,554,634,2542,3074
REGION MODERNO,CUENTAS CLAVES,PAPACHOS,CUENTAS CLAVES,MODERNO,COCA_COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,24,24,21,23,17,97,59
REGION MODERNO,CUENTAS CLAVES,OXXO,CUENTAS CLAVES,MODERNO,COCA_COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,44,44,32,19,30,72,106
REGION MODERNO,CUENTAS CLAVES,OTROS OP4,CUENTAS CLAVES,MODERNO,COCA_COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,3,3,0,0,0,4,8
REGION MODERNO,CUENTAS CLAVES,OTROS OP3,CUENTAS CLAVES,MODERNO,COCA_COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,32,32,13,27,21,89,85
REGION MODERNO,CUENTAS CLAVES,OTROS OP2,CUENTAS CLAVES,MODERNO,COCA_COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,34,34,154,15,38,247,118
REGION MODERNO,CUENTAS CLAVES,OTROS IYN 3,CUENTAS CLAVES,MODERNO,COCA_COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,5,5,8,17,8,85,40
REGION MODERNO,CUENTAS CLAVES,OTROS IYN 2,CUENTAS CLAVES,MODERNO,COCA_COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,459,460,251,152,389,818,1473
REGION MODERNO,CUENTAS CLAVES,OTROS IYN,CUENTAS CLAVES,MODERNO,COCA_COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,719,719,898,594,805,2304,2614
REGION MODERNO,CUENTAS CLAVES,OTROS CS,CUENTAS CLAVES,MODERNO,COCA_COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,470,470,467,505,482,2272,2282
REGION MODERNO,CUENTAS CLAVES,OTROS AYM,CUENTAS CLAVES,MODERNO,COCA_COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,1240,1240,999,1181,1590,4298,5490
REGION MODERNO,CUENTAS CLAVES,NORKYS,CUENTAS CLAVES,MODERNO,COCA_COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,12,12,21,21,0,66,32
REGION MODERNO,CUENTAS CLAVES,NEWREST,CUENTAS CLAVES,MODERNO,COCA_COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,240,240,300,213,433,759,1729
REGION MODERNO,CUENTAS CLAVES,MIAMI CHICKEN,CUENTAS CLAVES,MODERNO,COCA_COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,135,135,78,85,123,427,486
REGION MODERNO,CUENTAS CLAVES,MEDITERRANEO CHICKEN,CUENTAS CLAVES,MODERNO,COCA_COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,0,0,0,0,0,0,0
REGION MODERNO,CUENTAS CLAVES,LEnAYCARBON,CUENTAS CLAVES,MODERNO,COCA_COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,0,0,0,21,0,148,0
REGION MODERNO,CUENTAS CLAVES,LATAM,CUENTAS CLAVES,MODERNO,COCA_COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,0,0,0,0,0,0,0
REGION MODERNO,CUENTAS CLAVES,LA PANKA,CUENTAS CLAVES,MODERNO,COCA_COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,0,0,0,0,0,2,0
REGION MODERNO,CUENTAS CLAVES,LA MAR,CUENTAS CLAVES,MODERNO,COCA_COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,11,11,15,17,13,53,40
REGION MODERNO,CUENTAS CLAVES,LA BISTECA,CUENTAS CLAVES,MODERNO,COCA_COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,12,12,0,0,0,0,0
REGION MODERNO,CUENTAS CLAVES,KI MARKET,CUENTAS CLAVES,MODERNO,COCA_COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,9,9,15,8,6,46,42
REGION MODERNO,CUENTAS CLAVES,KFC,CUENTAS CLAVES,MODERNO,COCA_COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,42,42,0,0,0,0,0
REGION MODERNO,CUENTAS CLAVES,KA CORPORATIVO,CUENTAS CLAVES,MODERNO,COCA_COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,0,0,0,0,0,0,0
REGION MODERNO,CUENTAS CLAVES,INDELFI,CUENTAS CLAVES,MODERNO,COCA_COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,54,54,53,59,104,336,317
REGION MODERNO,CUENTAS CLAVES,HUACA PUCLLANA,CUENTAS CLAVES,MODERNO,COCA_COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,0,0,0,0,6,0,6
REGION MODERNO,CUENTAS CLAVES,HOTEL WESTIN LIMA,CUENTAS CLAVES,MODERNO,COCA_COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,144,144,137,201,87,473,285
REGION MODERNO,CUENTAS CLAVES,HOTELES EL LIBERTADOR,CUENTAS CLAVES,MODERNO,COCA_COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,2,2,0,0,4,13,13
REGION MODERNO,CUENTAS CLAVES,GAZEL,CUENTAS CLAVES,MODERNO,COCA_COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,85,85,42,125,99,431,450
REGION MODERNO,CUENTAS CLAVES,GATE,CUENTAS CLAVES,MODERNO,COCA_COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,0,0,0,0,0,0,0
REGION MODERNO,CUENTAS CLAVES,ENERGIGAS,CUENTAS CLAVES,MODERNO,COCA_COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,112,112,85,127,112,425,507
REGION MODERNO,CUENTAS CLAVES,EL HORNERO,CUENTAS CLAVES,MODERNO,COCA_COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,2,2,0,0,0,0,0
REGION MODERNO,CUENTAS CLAVES,EDO SUSHI BAR,CUENTAS CLAVES,MODERNO,COCA_COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,8,8,0,0,0,0,6
REGION MODERNO,CUENTAS CLAVES,DONDE WALTER,CUENTAS CLAVES,MODERNO,COCA_COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,1,1,0,0,0,0,0
REGION MODERNO,CUENTAS CLAVES,DON BUFFET,CUENTAS CLAVES,MODERNO,COCA_COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,14,14,17,0,30,57,91
REGION MODERNO,CUENTAS CLAVES,CLUB DE REGATAS LIMA,CUENTAS CLAVES,MODERNO,COCA_COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,40,40,27,32,112,154,283
REGION MODERNO,CUENTAS CLAVES,CHIFA WA LOC,CUENTAS CLAVES,MODERNO,COCA_COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,4,4,6,6,8,11,19
REGION MODERNO,CUENTAS CLAVES,CHIFA JADE,CUENTAS CLAVES,MODERNO,COCA_COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,8,8,0,6,6,11,27
REGION MODERNO,CUENTAS CLAVES,CHIFA HOU WHA,CUENTAS CLAVES,MODERNO,COCA_COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,5,5,0,0,11,0,27
REGION MODERNO,CUENTAS CLAVES,CASINO FIESTA,CUENTAS CLAVES,MODERNO,COCA_COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,144,144,0,0,152,0,511
REGION MODERNO,CUENTAS CLAVES,CASA ANDINA,CUENTAS CLAVES,MODERNO,COCA_COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,17,17,4,8,4,32,19
REGION MODERNO,CUENTAS CLAVES,CANDY MARKET,CUENTAS CLAVES,MODERNO,COCA_COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,338,338,302,137,306,919,1225
REGION MODERNO,CUENTAS CLAVES,CALA,CUENTAS CLAVES,MODERNO,COCA_COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,0,0,0,2,8,11,13
REGION MODERNO,CUENTAS CLAVES,BOTICAS FASA,CUENTAS CLAVES,MODERNO,COCA_COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,0,0,0,0,0,0,0
REGION MODERNO,CUENTAS CLAVES,ASC.CULT.BRISAS DEL TITICACA,CUENTAS CLAVES,MODERNO,COCA_COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,74,74,0,46,42,156,205
REGION MODERNO,AUTOSERVICIOS,WONG,SS Y HH ,MODERNO,COCA_COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,3688,3688,4479,3463,3309,13182,11726
REGION MODERNO,AUTOSERVICIOS,TOTTUS,SS Y HH ,MODERNO,COCA_COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,10464,10464,13843,18367,8402,71338,33973
REGION MODERNO,AUTOSERVICIOS,SP SA,SS Y HH ,MODERNO,COCA_COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,17216,17216,10257,12320,18709,86091,79459
REGION MODERNO,AUTOSERVICIOS,METRO,SS Y HH ,MODERNO,COCA_COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,4768,4768,29379,10779,4739,69279,22288
REGION MODERNO,AUTOSERVICIOS,MAYORSA S A,CASH Y CARRY,VERTICAL,COCA_COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,1077,1077,3475,985,556,4102,3911
REGION MODERNO,AUTOSERVICIOS,MAKRO,CASH Y CARRY,VERTICAL,COCA_COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,18705,18705,18042,20667,17452,85853,69076
REGION MODERNO,AUTOSERVICIOS,CORP.VEGA SAC,CASH Y CARRY,VERTICAL,COCA_COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,2075,2075,3107,3493,2187,15867,8718
REGION LIMA,LIMA VERTICAL,K6V PACI MEGA DUEnAS Vertical,VERTICAL,VERTICAL,COCA_COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,2756,2756,3356,2170,2760,7323,9438
REGION LIMA,LIMA VERTICAL,K6B PACI MEGA DUEnAS Vertical,VERTICAL,VERTICAL,COCA_COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,4444,4444,4523,4728,3967,15369,18680
REGION LIMA,LIMA VERTICAL,K5V PACI MEGA HUACHIPA Vertica,VERTICAL,VERTICAL,COCA_COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,5627,5627,8274,8350,9986,26519,36205
REGION LIMA,LIMA VERTICAL,K5B PACI MEGA HUACHIPA Vertica,VERTICAL,VERTICAL,COCA_COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,42501,42501,35383,44724,41514,166221,162837
REGION LIMA,LIMA VERTICAL,IA ECOBESA Vertical 2,VERTICAL,VERTICAL,COCA_COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,0,0,4311,6025,0,19460,1965
REGION LIMA,LIMA VERTICAL,IA ECOBESA Vertical,VERTICAL,VERTICAL,COCA_COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,0,0,2162,340,0,476,0
REGION LIMA,LIMA VERTICAL,I9 ECOBESA Vertical 2,VERTICAL,VERTICAL,COCA_COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,0,0,731,782,0,3276,0
REGION LIMA,LIMA VERTICAL,I9 ECOBESA Vertical,VERTICAL,VERTICAL,COCA_COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,0,0,1999,697,0,2959,0
REGION LIMA,LIMA VERTICAL,I6 ECOBESA CHINCHA Vertical,VERTICAL,VERTICAL,COCA_COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,0,0,1699,5241,2316,13585,7866
REGION LIMA,LIMA VERTICAL,I5 ECOBESA PISCO Vertical,VERTICAL,VERTICAL,COCA_COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,1672,1672,770,1162,2136,8323,6809
REGION LIMA,LIMA VERTICAL,I3 ECOBESA ICA Vertical,VERTICAL,VERTICAL,COCA_COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,829,829,1965,2536,748,7306,2663
REGION LIMA,LIMA VERTICAL,I1 ECOBESA Vertical,VERTICAL,VERTICAL,COCA_COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,0,0,526,127,0,421,0
REGION LIMA,LIMA VERTICAL,I1B ECOBESA Vertical 2,VERTICAL,VERTICAL,COCA_COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,0,0,528,617,0,2559,0
REGION LIMA,LIMA VERTICAL,79 PADEMAR CAnETE Vertical,VERTICAL,VERTICAL,COCA_COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,158,158,1133,634,454,2621,2065
REGION LIMA,LIMA VERTICAL,78 MARTiNEZ VENTANILLA Vertica,VERTICAL,VERTICAL,COCA_COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,2088,2088,5505,5446,5533,17611,20918
REGION LIMA,LIMA VERTICAL,33 PACI VES Vertical 2,VERTICAL,VERTICAL,COCA_COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,2494,2494,4664,4337,5324,16489,19158
REGION LIMA,LIMA VERTICAL,33 PACI VES Vertical,VERTICAL,VERTICAL,COCA_COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,4139,4139,14289,9441,4838,39244,19593
REGION LIMA,LIMA VERTICAL,28 IMPERIOS HUARAL Vertical,VERTICAL,VERTICAL,COCA_COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,748,748,1805,1395,1082,5989,4480
REGION LIMA,LIMA VERTICAL,26 PADEMAR MALA Vertical,VERTICAL,VERTICAL,COCA_COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,1561,1561,2061,972,1353,8101,8335
REGION LIMA,LIMA VERTICAL,24 IMPERIOS HUACHO Vertical,VERTICAL,VERTICAL,COCA_COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,2695,2695,4912,2580,3166,16068,12215
REGION LIMA,LIMA VERTICAL,14 LAS DUNAS NAZCA Vertical,VERTICAL,VERTICAL,COCA_COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,834,834,581,951,549,1868,3248
REGION LIMA,LIMA 2,I9 ECOBESA COMAS,TRADICIONAL,HORIZONTAL,COCA_COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,0,0,2,4,0,27,0
REGION LIMA,LIMA 2,I6 ECOBESA CHINCHA,VTA AL PASO MAS OTROS,HORIZONTAL,COCA_COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,188,279,316,194,155,707,720
REGION LIMA,LIMA 2,I6 ECOBESA CHINCHA,TRADICIONAL,HORIZONTAL,COCA_COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,5468,5427,6742,3302,3427,13455,19428
REGION LIMA,LIMA 2,I6 ECOBESA CHINCHA,COMER Y BEBER,HORIZONTAL,COCA_COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,413,363,347,301,316,1152,1391
REGION LIMA,LIMA 2,I5 ECOBESA PISCO,VTA AL PASO MAS OTROS,HORIZONTAL,COCA_COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,160,198,442,142,105,673,726
REGION LIMA,LIMA 2,I5 ECOBESA PISCO,TRADICIONAL,HORIZONTAL,COCA_COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,5113,5074,5101,2870,2567,12035,16937
REGION LIMA,LIMA 2,I5 ECOBESA PISCO,COMER Y BEBER,HORIZONTAL,COCA_COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,322,322,301,149,263,820,1224
REGION LIMA,LIMA 2,I3 ECOBESA ICA,VTA AL PASO MAS OTROS,HORIZONTAL,COCA_COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,767,767,1135,846,772,3669,3635
REGION LIMA,LIMA 2,I3 ECOBESA ICA,TRADICIONAL,HORIZONTAL,COCA_COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,8468,8468,8787,8102,6150,32489,32598
REGION LIMA,LIMA 2,I3 ECOBESA ICA,COMER Y BEBER,HORIZONTAL,COCA_COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,632,632,565,437,443,2090,2163
REGION LIMA,LIMA 2,83 CONSUELO CANALES PUQUIO,VTA AL PASO MAS OTROS,HORIZONTAL,COCA_COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,5,5,21,20,4,73,27
REGION LIMA,LIMA 2,83 CONSUELO CANALES PUQUIO,TRADICIONAL,HORIZONTAL,COCA_COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,327,328,380,321,467,1150,1243
